itemId,account,category,oldTier,newTier,h,w,l,weightG,status,error
MLB4484806226,JOTABÊ AUTOPEÇAS,MLB430748,SMALL,MEDIUM,25,25,25,2000,ok,
MLB4490682208,JOTABÊ AUTOPEÇAS,MLB428983,SMALL,MEDIUM,25,25,25,2000,ok,
MLB3626421545,JOTABÊ AUTOPEÇAS,MLB194431,SMALL,MEDIUM,25,25,25,2000,ok,
MLB3671873821,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,ok,
MLB3868933137,JOTABÊ AUTOPEÇAS,MLB115598,TINY,SMALL,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height] are too small for the product dimensions)
MLB3868873119,JOTABÊ AUTOPEÇAS,MLB278120,MEDIUM,LARGE,30,40,50,5000,ok,
MLB3877320941,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,ok,
MLB3898632933,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,ok,
MLB5163470512,JOTABÊ AUTOPEÇAS,MLB22704,MEDIUM,LARGE,30,40,50,5000,ok,
MLB5166958082,JOTABÊ AUTOPEÇAS,MLB278120,MEDIUM,LARGE,30,40,50,5000,ok,
MLB3902497559,JOTABÊ AUTOPEÇAS,MLB456380,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_height] are too small for the product dimensions)
MLB5172619950,JOTABÊ AUTOPEÇAS,MLB63743,SMALL,MEDIUM,25,25,25,2000,ok,
MLB3905249445,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,ok,
MLB5182433606,JOTABÊ AUTOPEÇAS,MLB63583,SMALL_LONG,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height] are too small for the product dimensions)
MLB3906619465,JOTABÊ AUTOPEÇAS,MLB194704,LARGE,XLARGE,30,50,80,12000,ok,
MLB5182369734,JOTABÊ AUTOPEÇAS,MLB63583,SMALL_LONG,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height] are too small for the product dimensions)
MLB3913206679,JOTABÊ AUTOPEÇAS,MLB270299,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length; seller_package_width; seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB5187093012,JOTABÊ AUTOPEÇAS,MLB63389,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_height] are too small for the product dimensions)
MLB5189133184,JOTABÊ AUTOPEÇAS,MLB190953,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_height] are too small for the product dimensions)
MLB5189299216,JOTABÊ AUTOPEÇAS,MLB278120,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height; seller_package_width] are too small for the product dimensions)
MLB5192277566,JOTABÊ AUTOPEÇAS,MLB431271,XLARGE,XXLARGE,30,70,100,18000,ok,
MLB3914031337,JOTABÊ AUTOPEÇAS,MLB63736,MEDIUM_FLAT,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB3919894631,JOTABÊ AUTOPEÇAS,MLB63736,MEDIUM_FLAT,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB5196044914,JOTABÊ AUTOPEÇAS,MLB269576,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length] are too small for the product dimensions)
MLB5199990586,JOTABÊ AUTOPEÇAS,MLB269576,MEDIUM,LARGE,30,40,50,5000,ok,
MLB5200041774,JOTABÊ AUTOPEÇAS,MLB269576,MEDIUM,LARGE,30,40,50,5000,ok,
MLB3922941703,JOTABÊ AUTOPEÇAS,MLB269576,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height; seller_package_width; seller_package_length] are too small for the product dimensions)
MLB3924892531,JOTABÊ AUTOPEÇAS,MLB194800,SMALL,MEDIUM,25,25,25,2000,ok,
MLB5210814394,JOTABÊ AUTOPEÇAS,MLB63583,SMALL_LONG,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_height] are too small for the product dimensions)
MLB3929217829,JOTABÊ AUTOPEÇAS,MLB115598,TINY,SMALL,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB3928971381,JOTABÊ AUTOPEÇAS,MLB115598,TINY,SMALL,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB3928960623,JOTABÊ AUTOPEÇAS,MLB63463,TINY,SMALL,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height] are too small for the product dimensions)
