productId,h,w,l,weightKg,source,itemRef,error
"cmnclamef03utvs1cyvk5du2v","15","15","15","0.6","cat:MLB191714->SMALL","MLB3695606685",""
"cmnclaqkb04kcvs1co1beo8tv","15","15","15","0.6","cat:MLB191714->SMALL","MLB4693917856",""
"cmnclaqkb04kbvs1ccltx0ara","15","15","15","0.6","cat:MLB191714->SMALL","MLB4693737454",""
"cmnck0imx0003vs9kvojcuvfv","15","15","15","0.6","cat:MLB270299->SMALL","MLB3690219159",""
"cmncla47v000ovs1cm005jcr8","25","25","25","2","cat:MLB191715->MEDIUM","MLB3695578765",""
"cmnckbxjs0129vs9k0wg0wubi","15","15","15","0.6","cat:MLB428983->SMALL","MLB3690061981",""
"cmnclaqkb04k9vs1cqham4xkv","25","25","25","2","cat:MLB63512->MEDIUM","MLB4693021056",""
"cmnclac7u01x7vs1cienpent1","25","25","25","2","cat:MLB191715->MEDIUM","MLB4689858984",""
"cmnclac7u01xcvs1cm0qzv94y","25","25","25","2","kw:MEDIUM","MLB4699624062",""
"cmnclamef03usvs1cnngiv61d","15","15","15","0.6","cat:MLB191714->SMALL","MLB3695373239",""
"cmnckby4n012bvs9k5ecna4kv","15","15","15","0.6","cat:MLB191714->SMALL","MLB3693830373",""
"cmnckfeke022vvs60z5o1vr7e","15","15","15","0.6","cat:MLB428983->SMALL","MLB4700184550",""
"cmnclamef03unvs1csr7p890e","25","25","25","2","cat:MLB63512->MEDIUM","MLB3693439795",""
"cmnckbypm012dvs9kc0g51rdn","10","10","50","0.8","cat:MLB191713->SMALL_LONG","MLB3693873405",""
"cmnclaqkc04kfvs1c30ycaatc","15","15","15","0.6","cat:MLB191714->SMALL","MLB4709539208",""
"cmnclamef03uovs1cavkductv","25","25","25","2","cat:MLB63512->MEDIUM","MLB3693486129",""
"cmnclac7u01xavs1cuq0yiq8p","15","15","15","0.6","cat:MLB194805->SMALL","MLB4699355734",""
"cmncla47v000pvs1ckig3xa6e","25","25","25","2","cat:MLB191715->MEDIUM","MLB3698205299",""
"cmnclac7u01xbvs1cmvb61guo","15","15","15","0.6","cat:MLB193902->SMALL","MLB4699448438",""
"cmnckfeke022xvs60r8b02zyv","10","10","50","0.8","cat:MLB191713->SMALL_LONG","MLB4706969098",""
