itemId,account,category,title,derivedSku,skuSource,price,stock,h,w,l,weightKg,dimSource,mlCategoryLocalId,existingProductId,action,error,newProductId,newListingId,commitError
"MLB4579902083","JOTABÊ AUTOPEÇAS","MLB192566","Bico Injetor Chevrolet Corsa 1.0 8v 1994 1995 1996 2002 127","28623","SELLER_SKU","29","1","10","10","10","0.3","cat:MLB192566->TINY","cmmwbywuu030cvsakj1w868fe","","create-new","","cmnwf2kjy0bzjvs4wzac52y8o","cmnwf2krw0bzlvs4wnlwi0z3w",""
"MLB4579871183","JOTABÊ AUTOPEÇAS","MLB192357","Tbi Corpo Borboleta Chevrolet Corsa 1.0 8v 2002","28621","SELLER_SKU","199","1","15","15","15","0.6","cat:MLB192357->SMALL","cmmwbywwg030gvsakcglr48ww","","create-new","","cmnwf2lbi0bznvs4w8sy2vulq","cmnwf2lj80bzpvs4wec86zk8m",""
"MLB4580012429","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Ford Focus 2004 Preto","28625","SELLER_SKU","320","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf2m2o0bzrvs4wew6zbcdj","cmnwf2mai0bztvs4wsglalqnr",""
"MLB4579794047","JOTABÊ AUTOPEÇAS","MLB192358","Sonda Lambda Fiat Palio Siena 1.0 1.3 2004","28615","SELLER_SKU","99","1","10","10","10","0.3","cat:MLB192358->TINY","cmmwbyx1q030lvsakvbg4u4ak","","create-new","","cmnwf2mu40bzvvs4w9gprxoc3","cmnwf2n1z0bzxvs4wdrt2vwd1",""
"MLB4580425781","JOTABÊ AUTOPEÇAS","MLB194771","Cabo Capo Volkswagen Gol G4 2007","28641","SELLER_SKU","19","1","30","80","100","18","kw:XXLARGE","cmmwc47w407agvsakh7qedkoq","","create-new","","cmnwf2npk0bzzvs4wvqewqc7o","cmnwf2nxh0c01vs4wcjqd1hzt",""
"MLB4579807447","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Chevrolet Meriva 2007 Preto","28614","SELLER_SKU","250","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf2oh30c03vs4w5aavu628","cmnwf2ooy0c05vs4w777qn5kz",""
"MLB4580474911","JOTABÊ AUTOPEÇAS","MLB428983","Maçaneta Interna Esquerda Fiat Uno 2002 Preto Traseira","28644","SELLER_SKU","19","1","15","15","15","0.6","cat:MLB428983->SMALL","cmmwc3qp206wbvsak8xk9mw49","","create-new","","cmnwf2p8i0c07vs4wxn4hh2ou","cmnwf2pgg0c09vs4w71x9oaaq",""
"MLB4580066867","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Audi A3 2014 Preto","28626","SELLER_SKU","280","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf2q000c0bvs4w1buljrmw","cmnwf2q9g0c0dvs4wiwv46cgu",""
"MLB4579950203","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Fiat Cronos 2018 Preto","28622","SELLER_SKU","110","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf2qt70c0fvs4wcz7e3xi5","cmnwf2r120c0hvs4wwuh2y0w7",""
"MLB4579903783","JOTABÊ AUTOPEÇAS","MLB437946","Carcaça Válvula Termostática Volkswagen Gol A3 Fox","28617","SELLER_SKU","29","1","15","15","15","0.6","fallback:SMALL","cmmwbzb4303c1vsak3g1725xg","","create-new","","cmnwf2rkw0c0jvs4whel8hzdk","cmnwf2rss0c0lvs4wfvmwacw2",""
"MLB4579944691","JOTABÊ AUTOPEÇAS","MLB193933","Tubo Bomba Água Volkswagen Gol G4 Parati Saveiro 1.0 2007","28620","SELLER_SKU","19","1","10","10","50","0.8","cat:MLB193933->SMALL_LONG","cmmwbyxzw031fvsakdunhj8gb","","create-new","","cmnwf2scj0c0nvs4wkevgutgd","cmnwf2skg0c0pvs4wbvcw4gy3",""
"MLB4580006841","JOTABÊ AUTOPEÇAS","MLB270299","Pedal Acelerador Hyundai Hb20 2015","28624","SELLER_SKU","29","1","15","15","15","0.6","cat:MLB270299->SMALL","cmmwc4ao907cmvsak6h92axg5","","create-new","","cmnwf2t450c0rvs4wyyv7ir5j","cmnwf2tc00c0tvs4wk9sig1xg",""
"MLB4579491441","JOTABÊ AUTOPEÇAS","MLB63548","Painel Instrumento Renault Sandero Logan Duster 2011 Preto","28589","SELLER_SKU","119","1","15","40","40","2","cat:MLB63548->MEDIUM_FLAT","cmmwc6amw08z6vsak6jxxbvke","","create-new","","cmnwf2tvu0c0vvs4whk5z0iw8","cmnwf2u3r0c0xvs4w2usal4x5",""
"MLB6575502830","JOTABÊ AUTOPEÇAS","MLB270881","Acabamento Superior Coluna Direção Volkswagen Gol G3 2002","28747","SELLER_SKU","19","1","25","25","25","2","kw:MEDIUM","cmmwbz1nm034avsakyu1p72ul","","create-new","","cmnwf2unj0c0zvs4wjkdb4mru","cmnwf2uvc0c11vs4w9dsn0vxe",""
