itemId,account,h,w,l,weightG,status,error
MLB3572863551,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3569844255,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3571514115,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4392475174,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3578937077,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3580354211,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3578750939,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4407869368,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3579872951,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4408412048,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3578918749,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB4397836646,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4397817544,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB3580268785,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3582814127,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB3579023061,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3582749171,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3584467477,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3583704317,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3583637535,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3583882427,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3583331337,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4414433772,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3584697821,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3584749961,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4414702062,JOTABÊ AUTOPEÇAS,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length; seller_package_width; seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB3584953553,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4414189790,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3584841955,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3584920039,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3585804195,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3584622199,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
