itemId,account,category,title,derivedSku,skuSource,price,stock,h,w,l,weightKg,dimSource,mlCategoryLocalId,existingProductId,action,error
"MLB6544169960","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Direita Chevrolet Astra Sedan 99 2000 Direito/passageiro Vermelho","28440","SELLER_SKU","95","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6544113730","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerda Volkswagen Fox 1.0 2008 Direito/passageiro Vermelho","28438","SELLER_SKU","75","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6543862050","JOTABÊ AUTOPEÇAS","MLB194062","Cinto Segurança Traseiro Central Volkswagen Gol G7 2018","28435","SELLER_SKU","89","1","10","10","50","0.8","cat:MLB194062->SMALL_LONG","cmmwbz0kd033jvsak9jcsjf8i","","create-new",""
"MLB6545284758","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerda Volkswagen Gol G5 2008 Esquerdo/motorista Vermelho","28464","SELLER_SKU","145","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6543889828","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Direita Fiat Uno 2012 Direito/passageiro Vermelho","28436","SELLER_SKU","75","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6544270702","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerda Chery Tiggo 5x 2020 Esquerdo/motorista Vermelho","28439","SELLER_SKU","360","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6544511810","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerda Renault Sandero 2013 Esquerdo/motorista Vermelho","28448","SELLER_SKU","300","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6545169186","JOTABÊ AUTOPEÇAS","MLB430748","Comando Ar Condicionado Volkswagen Gol G7 2018","28457","SELLER_SKU","139","1","15","15","15","0.6","cat:MLB430748->SMALL","cmmwbysj102x1vsak0a3dpn6e","","create-new",""
"MLB6545290462","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerdo Volkswagen Gol G5 2009 Esquerdo/motorista Vermelho","28466","SELLER_SKU","55","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6544838926","JOTABÊ AUTOPEÇAS","MLB47115","Bomba Combustivel Volkswagen Gol G7 2018","28454","SELLER_SKU","139","1","15","15","15","0.6","cat:MLB47115->SMALL","cmmwc43c0076dvsakzrjrpsru","","create-new",""
